"Kuntien avainluvut"

"Alue 2020";"Väkiluku, 2019"
"Akaa";16475
"Alajärvi";9562
"Alavieska";2519
"Alavus";11468
"Asikkala";8083
"Askola";4943
"Aura";3941
"Brändö";445
"Eckerö";952
"Enonkoski";1361
"Enontekiö";1838
"Espoo";289731
"Eura";11632
"Eurajoki";9402
"Evijärvi";2425
"Finström";2593
"Forssa";16901
"Föglö";531
"Geta";496
"Haapajärvi";7010
"Haapavesi";6758
"Hailuoto";959
"Halsua";1127
"Hamina";20111
"Hammarland";1583
"Hankasalmi";4875
"Hanko";8199
"Harjavalta";6931
"Hartola";2697
"Hattula";9422
"Hausjärvi";8260
"Heinola";18667
"Heinävesi";3254
"Helsinki";653835
"Hirvensalmi";2136
"Hollola";23410
"Honkajoki";1620
"Huittinen";10044
"Humppila";2184
"Hyrynsalmi";2271
"Hyvinkää";46470
"Hämeenkyrö";10404
"Hämeenlinna";67633
"Ii";9844
"Iisalmi";21368
"Iitti";6711
"Ikaalinen";6942
"Ilmajoki";12269
"Ilomantsi";4857
"Imatra";26508
"Inari";6907
"Inkoo";5386
"Isojoki";1951
"Isokyrö";4522
"Janakkala";16413
"Joensuu";76850
"Jokioinen";5133
"Jomala";5233
"Joroinen";4767
"Joutsa";4377
"Juuka";4606
"Juupajoki";1844
"Juva";6116
"Jyväskylä";142400
"Jämijärvi";1739
"Jämsä";20182
"Järvenpää";43711
"Kaarina";33937
"Kaavi";2893
"Kajaani";36709
"Kalajoki";12373
"Kangasala";31868
"Kangasniemi";5356
"Kankaanpää";11286
"Kannonkoski";1339
"Kannus";5464
"Karijoki";1245
"Karkkila";8714
"Karstula";3949
"Karvia";2342
"Kaskinen";1246
"Kauhajoki";13184
"Kauhava";15726
"Kauniainen";9797
"Kaustinen";4261
"Keitele";2202
"Kemi";20707
"Kemijärvi";7274
"Keminmaa";8079
"Kemiönsaari";6640
"Kempele";18355
"Kerava";36756
"Keuruu";9605
"Kihniö";1865
"Kinnula";1620
"Kirkkonummi";39586
"Kitee";10136
"Kittilä";6453
"Kiuruvesi";7998
"Kivijärvi";1096
"Kokemäki";7103
"Kokkola";47681
"Kolari";3846
"Konnevesi";2627
"Kontiolahti";14821
"Korsnäs";2077
"Koski Tl";2308
"Kotka";52126
"Kouvola";82113
"Kristiinankaupunki";6486
"Kruunupyy";6428
"Kuhmo";8190
"Kuhmoinen";2206
"Kumlinge";314
"Kuopio";119282
"Kuortane";3551
"Kurikka";20678
"Kustavi";949
"Kuusamo";15134
"Kyyjärvi";1313
"Kärkölä";4368
"Kärsämäki";2576
"Kökar";232
"Lahti";119823
"Laihia";8017
"Laitila";8588
"Lapinjärvi";2606
"Lapinlahti";9485
"Lappajärvi";2996
"Lappeenranta";72634
"Lapua";14278
"Laukaa";18903
"Lemi";2971
"Lemland";2053
"Lempäälä";23523
"Leppävirta";9454
"Lestijärvi";719
"Lieksa";10884
"Lieto";19994
"Liminka";10191
"Liperi";12084
"Lohja";45965
"Loimaa";15875
"Loppi";7828
"Loviisa";14772
"Luhanka";690
"Lumijoki";2020
"Lumparland";366
"Luoto";5417
"Luumäki";4636
"Maalahti";5475
"Maarianhamina";11679
"Marttila";2013
"Masku";9534
"Merijärvi";1089
"Merikarvia";3067
"Miehikkälä";1857
"Mikkeli";53134
"Muhos";8908
"Multia";1566
"Muonio";2308
"Mustasaari";19448
"Muurame";10164
"Mynämäki";7654
"Myrskylä";1882
"Mäntsälä";20721
"Mänttä-Vilppula";9855
"Mäntyharju";5791
"Naantali";19314
"Nakkila";5329
"Nivala";10639
"Nokia";33929
"Nousiainen";4715
"Nurmes";9552
"Nurmijärvi";42993
"Närpiö";9479
"Orimattila";16003
"Oripää";1329
"Orivesi";9158
"Oulainen";7288
"Oulu";205489
"Outokumpu";6688
"Padasjoki";2896
"Paimio";10850
"Paltamo";3273
"Parainen";15132
"Parikkala";4734
"Parkano";6404
"Pedersören kunta";11081
"Pelkosenniemi";939
"Pello";3373
"Perho";2759
"Pertunmaa";1690
"Petäjävesi";3841
"Pieksämäki";17682
"Pielavesi";4391
"Pietarsaari";19208
"Pihtipudas";4032
"Pirkkala";19623
"Polvijärvi";4246
"Pomarkku";2089
"Pori";83934
"Pornainen";5035
"Porvoo";50380
"Posio";3183
"Pudasjärvi";7873
"Pukkila";1860
"Punkalaidun";2828
"Puolanka";2528
"Puumala";2151
"Pyhtää";5140
"Pyhäjoki";3077
"Pyhäjärvi";5131
"Pyhäntä";1578
"Pyhäranta";2004
"Pälkäne";6435
"Pöytyä";8276
"Raahe";24679
"Raasepori";27536
"Raisio";24056
"Rantasalmi";3431
"Ranua";3783
"Rauma";39205
"Rautalampi";3121
"Rautavaara";1602
"Rautjärvi";3226
"Reisjärvi";2718
"Riihimäki";28793
"Ristijärvi";1272
"Rovaniemi";63042
"Ruokolahti";4994
"Ruovesi";4283
"Rusko";6327
"Rääkkylä";2126
"Saarijärvi";9309
"Salla";3400
"Salo";51833
"Saltvik";1849
"Sastamala";24277
"Sauvo";2945
"Savitaipale";3383
"Savonlinna";32974
"Savukoski";1005
"Seinäjoki";63781
"Sievi";4910
"Siikainen";1437
"Siikajoki";5145
"Siikalatva";5231
"Siilinjärvi";21423
"Simo";2988
"Sipoo";21170
"Siuntio";6145
"Sodankylä";8303
"Soini";2052
"Somero";8711
"Sonkajärvi";3897
"Sotkamo";10336
"Sottunga";88
"Sulkava";2492
"Sund";1023
"Suomussalmi";7727
"Suonenjoki";7064
"Sysmä";3657
"Säkylä";6721
"Taipalsaari";4671
